location,count_suwbay,count_bus,count_taxi,count_filling_station,count_automobile_rental
"116.41,39.90",24,21,0,1,0
"116.41,39.91",23,18,0,0,4
"116.41,39.92",19,23,0,0,4
"116.41,39.93",24,21,0,0,1
"116.41,39.94",3,18,0,0,1
"116.41,39.95",10,19,0,2,0
"116.41,39.96",1,20,0,3,3
"116.41,39.97",3,18,0,0,4
"116.41,39.98",2,16,0,0,1
"116.41,39.99",1,15,0,3,1
"116.41,40.00",2,23,0,6,4
"116.41,40.01",2,17,0,1,2
"116.41,40.03",1,11,0,1,1
"116.41,40.04",1,18,0,1,1
"116.41,40.05",2,16,0,0,3
"116.41,40.06",2,9,0,1,3
"116.41,40.07",2,11,0,1,1
"116.41,40.08",2,9,0,1,0
"116.41,40.09",1,3,0,2,0
"116.42,39.51",1,0,0,0,0
"116.42,39.52",1,0,0,0,0
"116.42,39.78",1,4,0,1,0
"116.42,39.79",1,8,0,1,0
"116.42,39.80",1,7,0,0,0
"116.42,39.84",2,20,0,1,1
"116.42,39.85",3,21,0,2,4
"116.42,39.86",3,20,0,2,4
"116.42,39.87",2,16,0,3,2
"116.42,39.88",1,8,0,1,2
"116.42,39.89",2,22,0,0,1
"116.42,39.90",24,24,0,2,2
"116.42,39.91",24,22,0,1,8
"116.42,39.92",18,15,0,0,6
"116.42,39.93",14,17,0,0,4
"116.42,39.94",2,18,0,0,2
"116.42,39.95",2,20,0,1,0
"116.42,39.96",2,22,0,1,2
"116.42,39.97",2,17,0,0,1
"116.42,39.98",2,20,0,1,1
"116.42,39.99",1,19,0,6,2
"116.42,40.00",2,17,0,5,2
"116.42,40.01",1,11,0,2,1
"116.42,40.03",1,14,0,2,1
"116.42,40.04",1,13,0,1,2
"116.42,40.05",1,14,0,0,3
"116.42,40.06",1,12,0,1,3
"116.42,40.07",2,24,0,1,1
"116.42,40.08",2,16,0,0,0
"116.42,40.09",1,2,0,2,0
"116.43,39.78",1,4,0,1,0
"116.43,39.79",1,5,0,1,0
"116.43,39.80",1,8,0,0,0
"116.43,39.84",1,15,0,0,2
"116.43,39.85",1,19,0,1,4
"116.43,39.86",2,24,0,3,5
"116.43,39.87",2,21,0,1,5
"116.43,39.88",1,12,0,2,4
"116.43,39.89",8,16,0,0,3
"116.43,39.90",2,24,0,2,2
"116.43,39.91",15,17,0,2,10
"116.43,39.92",6,11,0,0,4
"116.43,39.93",11,14,0,0,5
"116.43,39.94",2,14,0,0,7
"116.43,39.95",1,18,0,0,4
"116.43,39.96",3,23,0,0,6
"116.43,39.97",2,18,0,0,2
"116.43,39.98",1,16,0,1,1
"116.43,40.00",1,13,0,2,1
"116.43,40.01",1,6,0,0,0
"116.43,40.04",1,21,0,0,2
"116.43,40.05",1,17,0,0,1
"116.44,39.76",1,22,0,0,0
"116.44,39.77",1,17,0,3,1
"116.44,39.78",1,6,0,1,0
"116.44,39.83",1,6,0,0,0
"116.44,39.84",2,10,0,1,0
"116.44,39.85",1,13,0,3,5
"116.44,39.86",1,22,0,3,6
"116.44,39.87",1,20,0,1,3
"116.44,39.89",2,14,0,0,5
"116.44,39.90",5,15,0,1,7
"116.44,39.91",10,10,0,2,7
"116.44,39.92",7,15,0,1,2
"116.44,39.93",11,18,0,0,3
"116.44,39.94",2,17,0,0,6
"116.44,39.95",2,24,0,0,11
"116.44,39.96",2,24,0,1,7
"116.44,39.97",4,19,0,0,4
"116.44,39.98",1,10,0,1,1
"116.44,40.00",2,6,0,0,0
"116.44,40.03",1,21,0,2,2
"116.44,40.04",2,23,0,0,2
"116.44,40.05",2,15,0,0,1
"116.44,40.06",1,10,0,0,1
"116.44,40.07",1,16,0,0,1
"116.45,39.76",1,14,0,0,1
"116.45,39.77",1,15,0,2,1
"116.45,39.81",1,15,0,4,0
"116.45,39.83",2,10,0,2,2
"116.45,39.84",2,8,0,2,2
"116.45,39.85",2,10,0,2,2
"116.45,39.86",2,13,0,4,3
"116.45,39.87",3,21,0,4,6
"116.45,39.88",1,20,0,3,3
"116.45,39.89",1,17,0,0,8
"116.45,39.90",10,11,0,1,4
"116.45,39.91",12,16,0,2,6
"116.45,39.92",11,21,0,1,2
"116.45,39.93",6,18,0,1,4
"116.45,39.94",1,14,0,0,4
"116.45,39.95",1,21,0,2,8
"116.45,39.96",1,18,0,1,9
"116.45,39.97",2,17,0,1,4
"116.45,39.98",1,11,0,4,2
"116.45,39.99",1,8,0,2,3
"116.45,40.00",1,8,0,0,2
"116.45,40.03",1,9,0,1,1
"116.45,40.05",1,8,0,0,0
"116.45,40.07",1,4,0,0,1
"116.46,39.76",1,6,0,0,0
"116.46,39.80",1,12,0,2,0
"116.46,39.81",1,10,0,4,2
"116.46,39.82",1,9,0,5,1
"116.46,39.83",1,13,0,3,2
"116.46,39.85",1,7,0,2,1
"116.46,39.86",1,11,0,4,5
"116.46,39.87",2,24,0,4,7
"116.46,39.88",3,24,0,3,6
"116.46,39.89",2,23,0,2,12
"116.46,39.90",11,21,0,0,8
"116.46,39.91",21,19,0,0,6
"116.46,39.92",3,24,0,1,5
"116.46,39.93",16,20,0,1,7
"116.46,39.94",2,13,0,0,3
"116.46,39.95",2,12,0,1,9
"116.46,39.96",1,16,0,2,6
"116.46,39.97",1,10,0,1,3
"116.46,40.00",2,24,0,1,6
"116.46,40.01",1,17,0,0,2
"116.46,40.02",1,7,0,2,0
"116.46,40.11",1,9,0,0,1
"116.46,40.13",1,2,0,0,0
"116.47,39.80",1,8,0,0,0
"116.47,39.81",1,3,0,1,3
"116.47,39.83",1,10,0,3,3
"116.47,39.87",2,24,0,1,6
"116.47,39.88",4,21,0,1,5
"116.47,39.89",4,21,0,2,9
"116.47,39.90",6,24,0,2,11
"116.47,39.91",23,24,0,1,10
"116.47,39.92",4,22,0,1,7
"116.47,39.93",3,24,0,1,6
"116.47,39.94",3,12,0,1,3
"116.47,39.95",2,12,0,1,8
"116.47,39.99",2,21,0,1,6
"116.47,40.00",2,24,0,2,8
"116.47,40.01",1,24,0,2,7
"116.47,40.02",1,12,0,1,4
"116.47,40.03",1,3,0,1,0
"116.47,40.11",1,9,0,0,0
"116.47,40.12",2,5,0,0,2
"116.47,40.13",1,5,0,0,0
"116.48,39.80",1,16,0,0,0
"116.48,39.81",2,5,0,0,2
"116.48,39.85",1,5,0,3,1
"116.48,39.87",1,22,0,2,0
"116.48,39.88",2,13,0,2,1
"116.48,39.89",3,10,0,2,5
"116.48,39.90",2,18,0,2,10
"116.48,39.91",13,19,0,1,9
"116.48,39.92",2,21,0,1,6
"116.48,39.93",2,18,0,0,3
"116.48,39.94",2,7,0,1,1
"116.48,39.95",1,6,0,5,7
"116.48,39.96",1,8,0,5,5
"116.48,39.97",2,14,0,2,6
"116.48,39.98",3,19,0,2,5
"116.48,39.99",2,22,0,0,6
"116.48,40.00",2,18,0,1,2
"116.48,40.01",1,19,0,3,3
"116.48,40.02",1,5,0,3,3
"116.48,40.03",1,3,0,0,1
"116.48,40.13",1,4,0,1,0
"116.49,39.80",2,24,0,0,1
"116.49,39.81",1,8,0,0,2
"116.49,39.84",1,4,0,2,0
"116.49,39.85",2,4,0,2,1
"116.49,39.87",1,13,0,3,0
"116.49,39.89",2,7,0,2,1
"116.49,39.90",1,15,0,1,3
"116.49,39.91",1,11,0,0,5
"116.49,39.93",1,17,0,2,4
"116.49,39.94",1,10,0,2,4
"116.49,39.95",1,6,0,3,4
"116.49,39.96",1,16,0,6,4
"116.49,39.97",2,20,0,3,7
"116.49,39.98",4,17,0,1,6
"116.49,39.99",1,17,0,0,2
"116.49,40.00",1,12,0,0,0
"116.49,40.01",1,6,0,2,2
"116.49,40.02",1,4,0,3,2
"116.49,40.03",1,2,0,1,0
"116.50,39.80",1,24,0,0,1
"116.50,39.81",2,17,0,2,2
"116.50,39.84",1,5,0,0,0
"116.50,39.85",1,1,0,0,0
"116.50,39.86",1,10,0,1,2
"116.50,39.87",2,16,0,3,3
"116.50,39.88",2,7,0,1,1
